"SimpleTree"	"RotateCl10"	"RotateCl20"	"RotateCl30"	"RotateCl40"	"RotateCl50"	"AdaBoost10"	"AdaBoost20"	"AdaBoost30"	"AdaBoost40"	"AdaBoost50"	"Bagging10"	"Bagging20"	"Bagging30"	"Bagging40"	"Bagging50"	"RandomForest10"	"RandomForest20"	"RandomForest30"	"RandomForest40"	"RandomForest50"
0.375	0.25	0.3125	0.3125	0.3125	0.3125	0.375	0.4375	0.375	0.375	0.375	0.4375	0.5625	0.5	0.4375	0.5	0.375	0.5	0.375	0.375	0.4375
0.6875	0.625	0.6875	0.625	0.6875	0.625	0.6875	0.6875	0.8125	0.6875	0.8125	0.625	0.6875	0.75	0.75	0.75	0.75	0.6875	0.6875	0.625	0.75
0.625	0.4375	0.625	0.625	0.5625	0.5625	0.5	0.5625	0.625	0.5	0.625	0.6875	0.5	0.6875	0.5625	0.5	0.5625	0.5	0.625	0.625	0.4375
0.4375	0.5625	0.5	0.5625	0.4375	0.5625	0.625	0.5625	0.625	0.625	0.625	0.4375	0.4375	0.5625	0.625	0.5625	0.625	0.625	0.5625	0.5625	0.5
0.375	0.5625	0.5625	0.5625	0.5625	0.5625	0.625	0.625	0.5625	0.5625	0.6875	0.4375	0.375	0.5625	0.5	0.5	0.5	0.5625	0.5	0.5625	0.4375
0.5	0.4375	0.625	0.5	0.5625	0.5	0.625	0.625	0.6875	0.5625	0.6875	0.625	0.625	0.6875	0.625	0.625	0.625	0.5625	0.625	0.6875	0.625
0.6875	0.625	0.625	0.625	0.5625	0.5625	0.5	0.6875	0.625	0.625	0.625	0.5	0.4375	0.5625	0.5625	0.625	0.5625	0.375	0.625	0.5	0.5625
0.4375	0.4375	0.4375	0.375	0.4375	0.4375	0.4375	0.5	0.5	0.5625	0.4375	0.4375	0.5	0.5	0.4375	0.4375	0.4375	0.3125	0.375	0.3125	0.375
0.5625	0.5625	0.5625	0.625	0.625	0.5	0.625	0.625	0.6875	0.6875	0.6875	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625
0.6875	0.625	0.625	0.625	0.5625	0.5625	0.625	0.625	0.5	0.5625	0.5625	0.6875	0.75	0.6875	0.625	0.6875	0.6875	0.75	0.625	0.625	0.75
0.625	0.6875	0.625	0.5625	0.625	0.625	0.625	0.6875	0.6875	0.6875	0.5625	0.625	0.625	0.6875	0.625	0.625	0.625	0.6875	0.625	0.625	0.75
0.625	0.8125	0.75	0.75	0.75	0.875	0.75	0.8125	0.6875	0.75	0.8125	0.5	0.6875	0.6875	0.8125	0.6875	0.6875	0.625	0.5625	0.625	0.6875
0.8125	0.8125	0.875	0.875	0.75	0.875	0.875	0.9375	0.875	0.75	0.75	0.875	0.6875	0.6875	0.75	0.875	0.6875	0.8125	0.8125	0.75	0.75
0.5625	0.3125	0.5	0.3125	0.375	0.375	0.625	0.5625	0.6875	0.625	0.6875	0.5625	0.5625	0.5625	0.5625	0.5625	0.5	0.625	0.5625	0.5625	0.5625
0.75	0.8125	0.75	0.75	0.6875	0.75	0.8125	0.8125	0.8125	0.75	0.8125	0.625	0.6875	0.6875	0.75	0.75	0.6875	0.75	0.75	0.75	0.6875
0.75	0.625	0.625	0.6875	0.6875	0.6875	0.75	0.6875	0.5625	0.625	0.625	0.5625	0.6875	0.75	0.6875	0.75	0.75	0.6875	0.6875	0.75	0.625
0.75	0.8125	0.75	0.8125	0.8125	0.8125	0.8125	0.875	0.9375	0.9375	0.9375	0.875	0.5625	0.6875	0.625	0.75	0.875	0.75	0.8125	0.625	0.6875
0.5	0.625	0.625	0.625	0.6875	0.625	0.625	0.4375	0.6875	0.5625	0.5625	0.625	0.5625	0.625	0.6875	0.625	0.5	0.5	0.625	0.625	0.625
0.5	0.6875	0.625	0.625	0.6875	0.6875	0.4375	0.5	0.4375	0.5	0.4375	0.5625	0.5625	0.5625	0.5625	0.5625	0.6875	0.5625	0.5	0.375	0.5625
0.6875	0.6875	0.75	0.75	0.75	0.75	0.8125	0.75	0.8125	0.6875	0.6875	0.8125	0.6875	0.6875	0.6875	0.75	0.6875	0.75	0.75	0.75	0.75
0.625	0.625	0.75	0.6875	0.6875	0.75	0.75	0.75	0.875	0.875	0.875	0.5	0.6875	0.625	0.8125	0.75	0.6875	0.6875	0.75	0.6875	0.6875
0.8125	0.5625	0.5625	0.625	0.625	0.5625	0.75	0.8125	0.8125	0.75	0.6875	0.6875	0.625	0.75	0.75	0.6875	0.6875	0.5625	0.6875	0.625	0.6875
